,0.001,0.013250000000000001,0.025500000000000002,0.037750000000000006,0.05
462,0.85,0.925,0.925,0.825,0.825
463,0.875,0.875,0.825,0.825,0.725
464,0.875,0.85,0.875,0.875,0.8
465,0.825,0.825,0.9,0.85,0.9
466,0.875,0.875,0.875,0.825,0.925
467,0.8,0.825,0.8,0.8,0.775
468,0.85,0.825,0.9,0.825,0.75
469,0.875,0.825,0.8,0.825,0.875
470,0.9,0.875,0.8,0.85,0.85
471,0.9,0.8,0.775,0.825,0.8
472,0.9,0.9,0.875,0.85,0.85
473,0.925,0.85,0.875,0.925,0.875
474,0.75,0.825,0.875,0.775,0.875
475,0.9,0.775,0.85,0.9,0.875
476,0.85,0.8,0.8,0.875,0.825
477,0.95,0.85,0.875,0.85,0.875
478,0.825,0.875,0.775,0.85,0.725
479,0.8,0.9,0.9,0.875,0.875
480,0.85,0.85,0.875,0.8,0.775
481,0.9,0.8,0.825,0.925,0.85
482,0.85,0.875,0.825,0.85,0.85
483,0.8,0.95,0.875,0.8,0.925
484,0.9,0.925,0.825,0.9,0.825
485,0.825,0.875,0.775,0.925,0.875
486,0.9,0.925,0.825,0.85,0.8
487,0.825,0.875,0.875,0.875,0.8
488,0.8,0.825,0.825,0.85,0.975
489,0.9,0.8,0.9,0.875,0.725
490,0.9,0.875,0.875,0.9,0.8
491,0.75,0.875,0.875,0.8,0.775
492,0.825,0.825,0.925,0.75,0.925
493,0.9,0.85,0.825,0.825,0.875
494,0.875,0.925,0.8,0.85,0.75
495,0.825,0.8,0.875,0.775,0.8
496,0.9,0.8,0.9,0.825,0.9
497,0.875,0.9,0.825,0.775,0.9
498,0.75,0.925,0.9,0.875,0.875
499,0.825,0.875,0.825,0.925,0.85
500,0.85,0.9,0.825,0.85,0.875
501,0.9,0.75,0.85,0.9,0.825
502,0.9,0.875,0.825,0.8,0.925
503,0.85,0.8,0.8,0.925,0.75
504,0.8,0.875,0.875,0.825,0.825
505,0.875,0.9,0.8,0.85,0.95
506,0.875,0.85,0.925,0.8,0.9
507,0.85,0.8,0.9,0.85,0.575
508,0.725,0.85,0.8,0.875,0.925
509,0.9,0.8,0.85,0.875,0.825
510,0.8,0.9,0.9,0.825,0.85
511,0.9,0.875,0.725,0.875,0.825
512,0.825,0.775,0.825,0.75,0.875
513,0.775,0.875,0.85,0.925,0.75
514,0.9,0.875,0.85,0.85,0.825
515,0.9,0.9,0.825,0.825,0.775
516,0.875,0.9,0.875,0.85,0.85
517,0.725,0.825,0.875,0.85,0.85
518,0.85,0.85,0.925,0.825,0.85
519,0.925,0.85,0.85,0.85,0.85
520,0.9,0.8,0.8,0.825,0.825
521,0.825,0.875,0.875,0.825,0.8
522,0.85,0.875,0.925,0.9,0.8
523,0.9,0.925,0.8,0.95,0.925
524,0.8,0.75,0.825,0.775,0.95
525,0.8,0.925,0.8,0.875,0.875
526,0.775,0.825,0.875,0.95,0.875
527,0.825,0.85,0.875,0.825,0.9
528,0.9,0.875,0.8,0.9,0.875
529,0.875,0.875,0.95,0.825,0.9
530,0.875,0.875,0.95,0.9,0.85
531,0.825,0.8,0.9,0.85,0.8
532,0.85,0.875,0.825,0.85,0.825
533,0.925,0.825,0.825,0.85,0.9
534,0.875,0.85,0.875,0.85,0.8
535,0.775,0.85,0.85,0.775,0.825
536,0.8,0.825,0.9,0.925,0.8
537,0.85,0.975,0.725,0.85,0.825
538,0.9,0.825,0.9,0.875,0.925
539,0.925,0.825,0.75,0.7,0.825
540,0.775,0.8,0.9,0.9,0.825
541,0.9,0.8,0.875,0.85,0.925
542,0.925,0.825,0.825,0.85,0.8
543,0.85,0.85,0.775,0.95,0.825
544,0.825,0.875,0.875,0.75,0.85
545,0.825,0.8,0.775,0.875,0.875
546,0.9,0.9,0.85,0.85,0.9
547,0.85,0.825,0.925,0.825,0.8
548,0.85,0.85,0.925,0.8,0.85
549,0.85,0.8,0.775,0.825,0.875
550,0.9,0.775,0.85,0.825,0.85
551,0.9,0.8,0.875,0.9,0.825
552,0.825,0.85,0.9,0.875,0.9
553,0.775,0.8,0.825,0.825,0.9
554,0.9,0.95,0.9,0.925,0.875
555,0.875,0.85,0.825,0.85,0.8
556,0.875,0.925,0.9,0.875,0.9
557,0.825,0.85,0.9,0.925,0.8
558,0.85,0.9,0.875,0.95,0.875
559,0.825,0.85,0.75,0.8,0.875
560,0.875,0.925,0.875,0.9,0.825
561,0.85,0.95,0.85,0.85,0.875
562,0.9,0.9,0.9,0.875,0.775
563,0.8,0.85,0.8,0.85,0.9
564,0.8,0.75,0.925,0.775,0.875
565,0.825,0.825,0.85,0.725,0.875
566,0.9,0.85,0.75,0.875,0.825
567,0.875,0.95,0.875,0.9,0.9
568,0.9,0.825,0.85,0.8,0.875
569,0.875,0.775,0.8,0.85,0.925
570,0.9,0.875,0.675,0.85,0.825
571,0.85,0.85,0.9,0.875,0.85
572,0.825,0.85,0.825,0.9,0.9
573,0.8,0.95,0.9,0.9,0.775
574,0.85,0.775,0.85,0.85,0.85
575,0.875,0.925,0.925,0.775,0.85
576,0.875,0.9,0.85,0.925,0.85
577,0.775,0.975,0.825,0.8,0.925
578,0.825,0.825,0.875,0.825,0.825
579,0.85,0.85,0.825,0.9,0.8
580,0.9,0.875,0.9,0.825,0.775
581,0.85,0.875,0.825,0.825,0.825
582,0.875,0.825,0.775,0.825,0.9
583,0.825,0.775,0.9,0.9,0.925
584,0.825,0.825,0.775,0.9,0.875
585,0.8,0.75,0.925,0.8,0.8
586,0.875,0.75,0.825,0.85,0.9
587,0.875,0.75,0.85,0.875,0.9
588,0.825,0.925,0.825,0.825,0.775
589,0.95,0.925,0.875,0.875,0.85
590,0.775,0.9,0.75,0.775,0.95
591,0.875,0.85,0.875,0.9,0.8
592,0.9,0.85,0.925,0.85,0.825
593,0.9,0.875,0.95,0.9,0.8
594,0.85,0.75,0.825,0.825,0.775
595,0.85,0.775,0.85,0.85,0.925
596,0.85,0.9,0.775,0.75,0.7
597,0.825,0.925,0.85,0.875,0.8
598,0.9,0.825,0.75,0.775,0.925
599,0.875,0.9,0.775,0.925,0.9
600,0.75,0.875,0.775,0.85,0.875
601,0.825,0.8,0.825,0.775,0.875
602,0.85,0.9,0.825,0.975,0.825
603,0.875,0.875,0.85,0.875,0.825
604,0.925,0.85,0.975,0.85,0.85
605,0.85,0.775,0.825,0.825,0.9
606,0.825,0.9,0.8,0.85,0.825
607,0.875,0.875,0.875,0.85,0.8
608,0.875,0.9,0.875,0.85,0.85
609,0.9,0.85,0.85,0.85,0.85
610,0.925,0.95,0.875,0.875,0.9
611,0.85,0.85,0.825,0.9,0.8
612,0.8,0.8,0.85,0.775,0.875
613,0.825,0.85,0.8,0.825,0.925
614,0.8,0.9,0.875,0.9,0.825
615,0.8,0.825,0.9,0.875,0.875
616,0.925,0.95,0.9,0.85,0.825
617,0.875,0.9,0.775,0.825,0.8
618,0.75,0.85,0.775,1.0,0.85
619,0.875,0.85,0.925,0.75,0.825
620,0.85,0.875,0.85,0.85,0.875
621,0.875,0.775,0.925,0.9,0.75
622,0.95,0.775,0.875,0.875,0.825
623,0.75,0.9,0.85,0.875,0.9
624,0.9,0.925,0.875,0.85,0.85
625,0.85,0.775,0.85,0.875,0.9
626,0.7,0.925,0.875,0.925,0.85
627,0.9,0.8,0.725,0.825,0.775
628,0.85,0.85,0.85,0.825,0.85
